transaction_id,datetime,amount
TR_240902_00001,2/9/2024 13:02,458
TR_240905_00002,5/9/2024 18:57,478
TR_240902_00003,2/9/2024 13:02,263
TR_240903_00004,3/9/2024 16:31,332
TR_240902_00005,2/9/2024 13:02,289
TR_240901_00006,1/9/2024 12:48,94
TR_240905_00007,5/9/2024 18:57,337
TR_240903_00008,3/9/2024 16:31,143
TR_240905_00009,5/9/2024 18:57,92
TR_240905_00010,5/9/2024 18:57,303
TR_240902_00011,2/9/2024 13:02,426
TR_240903_00012,3/9/2024 16:31,353
TR_240901_00013,1/9/2024 12:48,148
TR_240901_00014,1/9/2024 12:48,21
TR_240903_00015,3/9/2024 16:31,486
TR_240904_00016,4/9/2024 09:30,35
TR_240905_00017,5/9/2024 18:57,139
TR_240901_00018,1/9/2024 12:48,210
TR_240903_00019,3/9/2024 16:31,192
TR_240904_00020,4/9/2024 09:30,161
TR_240903_00021,3/9/2024 16:31,347
TR_240905_00022,5/9/2024 18:57,363
TR_240902_00023,2/9/2024 13:02,136
TR_240905_00024,5/9/2024 18:57,162
TR_240904_00025,4/9/2024 09:30,290
TR_240904_00026,4/9/2024 09:30,443
TR_240905_00027,5/9/2024 18:57,41
TR_240903_00028,3/9/2024 16:31,289
TR_240901_00029,1/9/2024 12:48,475
TR_240905_00030,5/9/2024 18:57,297
TR_240901_00031,1/9/2024 12:48,193
TR_240901_00032,1/9/2024 12:48,109
TR_240904_00033,4/9/2024 09:30,488
TR_240901_00034,1/9/2024 12:48,194
TR_240905_00035,5/9/2024 18:57,247
TR_240904_00036,4/9/2024 09:30,331
TR_240903_00037,3/9/2024 16:31,360
TR_240902_00038,2/9/2024 13:02,190
TR_240903_00039,3/9/2024 16:31,386
TR_240901_00040,1/9/2024 12:48,79
TR_240902_00041,2/9/2024 13:02,80
TR_240905_00042,5/9/2024 18:57,195
TR_240902_00043,2/9/2024 13:02,423
TR_240902_00044,2/9/2024 13:02,121
TR_240902_00045,2/9/2024 13:02,208
TR_240905_00046,5/9/2024 18:57,354
TR_240904_00047,4/9/2024 09:30,379
TR_240901_00048,1/9/2024 12:48,465
TR_240901_00049,1/9/2024 12:48,388
TR_240903_00050,3/9/2024 16:31,474
TR_240905_00051,5/9/2024 18:57,240
TR_240904_00052,4/9/2024 09:30,389
TR_240901_00053,1/9/2024 12:48,170
TR_240903_00054,3/9/2024 16:31,171
TR_240905_00055,5/9/2024 18:57,75
TR_240903_00056,3/9/2024 16:31,84
TR_240901_00057,1/9/2024 12:48,398
TR_240905_00058,5/9/2024 18:57,43
TR_240903_00059,3/9/2024 16:31,238
TR_240905_00060,5/9/2024 18:57,347
TR_240902_00061,2/9/2024 13:02,113
TR_240905_00062,5/9/2024 18:57,475
TR_240905_00063,5/9/2024 18:57,426
TR_240905_00064,5/9/2024 18:57,196
TR_240903_00065,3/9/2024 16:31,262
TR_240904_00066,4/9/2024 09:30,85
TR_240901_00067,1/9/2024 12:48,212
TR_240905_00068,5/9/2024 18:57,451
TR_240904_00069,4/9/2024 09:30,428
TR_240903_00070,3/9/2024 16:31,488
TR_240905_00071,5/9/2024 18:57,487
TR_240902_00072,2/9/2024 13:02,84
TR_240903_00073,3/9/2024 16:31,304
TR_240902_00074,2/9/2024 13:02,157
TR_240902_00075,2/9/2024 13:02,38
TR_240902_00076,2/9/2024 13:02,71
TR_240901_00077,1/9/2024 12:48,107
TR_240905_00078,5/9/2024 18:57,349
TR_240903_00079,3/9/2024 16:31,493
TR_240904_00080,4/9/2024 09:30,394
TR_240901_00081,1/9/2024 12:48,361
TR_240901_00082,1/9/2024 12:48,224
TR_240902_00083,2/9/2024 13:02,180
TR_240902_00084,2/9/2024 13:02,332
TR_240901_00085,1/9/2024 12:48,473
TR_240901_00086,1/9/2024 12:48,494
TR_240905_00087,5/9/2024 18:57,156
TR_240904_00088,4/9/2024 09:30,405
TR_240905_00089,5/9/2024 18:57,457
TR_240903_00090,3/9/2024 16:31,97
TR_240905_00091,5/9/2024 18:57,221
TR_240902_00092,2/9/2024 13:02,429
TR_240902_00093,2/9/2024 13:02,230
TR_240905_00094,5/9/2024 18:57,37
TR_240904_00095,4/9/2024 09:30,478
TR_240905_00096,5/9/2024 18:57,388
TR_240903_00097,3/9/2024 16:31,113
TR_240904_00098,4/9/2024 09:30,421
TR_240904_00099,4/9/2024 09:30,258
TR_240903_00100,3/9/2024 16:31,195
TR_240901_00101,1/9/2024 12:48,43
TR_240903_00102,3/9/2024 16:31,81
TR_240905_00103,5/9/2024 18:57,398
TR_240901_00104,1/9/2024 12:48,210
TR_240904_00105,4/9/2024 09:30,140
TR_240905_00106,5/9/2024 18:57,121
TR_240903_00107,3/9/2024 16:31,397
TR_240902_00108,2/9/2024 13:02,318
TR_240902_00109,2/9/2024 13:02,29
TR_240901_00110,1/9/2024 12:48,254
TR_240903_00111,3/9/2024 16:31,275
TR_240901_00112,1/9/2024 12:48,345
TR_240902_00113,2/9/2024 13:02,33
TR_240903_00114,3/9/2024 16:31,302
TR_240902_00115,2/9/2024 13:02,492
TR_240903_00116,3/9/2024 16:31,128
TR_240904_00117,4/9/2024 09:30,123
TR_240901_00118,1/9/2024 12:48,281
TR_240901_00119,1/9/2024 12:48,156
TR_240902_00120,2/9/2024 13:02,130
TR_240902_00121,2/9/2024 13:02,100
TR_240901_00122,1/9/2024 12:48,142
TR_240905_00123,5/9/2024 18:57,155
TR_240905_00124,5/9/2024 18:57,152
TR_240905_00125,5/9/2024 18:57,176
TR_240901_00126,1/9/2024 12:48,260
TR_240901_00127,1/9/2024 12:48,421
TR_240901_00128,1/9/2024 12:48,14
TR_240902_00129,2/9/2024 13:02,394
TR_240905_00130,5/9/2024 18:57,459
TR_240905_00131,5/9/2024 18:57,279
TR_240901_00132,1/9/2024 12:48,449
TR_240904_00133,4/9/2024 09:30,442
TR_240901_00134,1/9/2024 12:48,118
TR_240903_00135,3/9/2024 16:31,47
TR_240901_00136,1/9/2024 12:48,443
TR_240901_00137,1/9/2024 12:48,378
TR_240905_00138,5/9/2024 18:57,293
TR_240901_00139,1/9/2024 12:48,228
TR_240902_00140,2/9/2024 13:02,155
TR_240902_00141,2/9/2024 13:02,393
TR_240901_00142,1/9/2024 12:48,284
TR_240904_00143,4/9/2024 09:30,18
TR_240902_00144,2/9/2024 13:02,484
TR_240901_00145,1/9/2024 12:48,317
TR_240901_00146,1/9/2024 12:48,68
TR_240905_00147,5/9/2024 18:57,105
TR_240904_00148,4/9/2024 09:30,496
TR_240905_00149,5/9/2024 18:57,183
TR_240901_00150,1/9/2024 12:48,158
TR_240903_00151,3/9/2024 16:31,167
TR_240901_00152,1/9/2024 12:48,68
TR_240902_00153,2/9/2024 13:02,114
TR_240901_00154,1/9/2024 12:48,54
TR_240903_00155,3/9/2024 16:31,190
