transaction_id,datetime,amount,ref_code
LW24090200001,2/9/2024 13:02,458,Z008
LW24090500002,5/9/2024 18:57,478,Z001
LW24090200003,2/9/2024 13:02,263,Z007
LW24090300004,3/9/2024 16:31,332,Z007
LW24090200005,2/9/2024 13:02,289,Z003
LW24090100006,1/9/2024 12:48,94,Z003
LW24090500007,5/9/2024 18:57,337,Z001
LW24090300008,3/9/2024 16:31,143,Z007
LW24090500009,5/9/2024 18:57,92,Z008
LW24090500010,5/9/2024 18:57,303,Z007
LW24090200011,2/9/2024 13:02,426,Z007
LW24090300012,3/9/2024 16:31,353,Z003
LW24090100013,1/9/2024 12:48,148,Z008
LW24090100014,1/9/2024 12:48,21,Z007
LW24090300015,3/9/2024 16:31,486,Z008
LW24090400016,4/9/2024 09:30,35,Z003
LW24090500017,5/9/2024 18:57,139,Z007
LW24090100018,1/9/2024 12:48,210,Z007
LW24090300019,3/9/2024 16:31,192,Z007
LW24090400020,4/9/2024 09:30,161,Z001
LW24090300021,3/9/2024 16:31,347,Z008
LW24090500022,5/9/2024 18:57,363,Z001
LW24090200023,2/9/2024 13:02,136,Z003
LW24090500024,5/9/2024 18:57,162,Z008
LW24090400025,4/9/2024 09:30,290,Z003
LW24090400026,4/9/2024 09:30,443,Z007
LW24090500027,5/9/2024 18:57,41,Z001
LW24090300028,3/9/2024 16:31,289,Z001
LW24090100029,1/9/2024 12:48,475,Z008
LW24090500030,5/9/2024 18:57,297,Z008
LW24090100031,1/9/2024 12:48,193,Z003
LW24090100032,1/9/2024 12:48,109,Z007
LW24090400033,4/9/2024 09:30,488,Z008
LW24090100034,1/9/2024 12:48,194,Z008
LW24090500035,5/9/2024 18:57,247,Z001
LW24090400036,4/9/2024 09:30,331,Z008
LW24090300037,3/9/2024 16:31,360,Z001
LW24090200038,2/9/2024 13:02,190,Z003
LW24090300039,3/9/2024 16:31,386,Z007
LW24090100040,1/9/2024 12:48,79,Z001
LW24090200041,2/9/2024 13:02,80,Z008
LW24090500042,5/9/2024 18:57,195,Z007
LW24090200043,2/9/2024 13:02,423,Z007
LW24090200044,2/9/2024 13:02,121,Z003
LW24090200045,2/9/2024 13:02,208,Z001
LW24090500046,5/9/2024 18:57,354,Z003
LW24090400047,4/9/2024 09:30,379,Z007
LW24090100048,1/9/2024 12:48,465,Z008
LW24090100049,1/9/2024 12:48,388,Z007
LW24090300050,3/9/2024 16:31,474,Z007
LW24090500051,5/9/2024 18:57,240,Z001
LW24090400052,4/9/2024 09:30,389,Z003
LW24090100053,1/9/2024 12:48,170,Z008
LW24090300054,3/9/2024 16:31,171,Z008
LW24090500055,5/9/2024 18:57,75,Z007
LW24090300056,3/9/2024 16:31,84,Z008
LW24090100057,1/9/2024 12:48,398,Z001
LW24090500058,5/9/2024 18:57,43,Z007
LW24090300059,3/9/2024 16:31,238,Z003
LW24090500060,5/9/2024 18:57,347,Z007
LW24090200061,2/9/2024 13:02,113,Z007
LW24090500062,5/9/2024 18:57,475,Z007
LW24090500063,5/9/2024 18:57,426,Z003
LW24090500064,5/9/2024 18:57,196,Z007
LW24090300065,3/9/2024 16:31,262,Z007
LW24090400066,4/9/2024 09:30,85,Z001
LW24090100067,1/9/2024 12:48,212,Z007
LW24090500068,5/9/2024 18:57,451,Z008
LW24090400069,4/9/2024 09:30,428,Z008
LW24090300070,3/9/2024 16:31,488,Z007
LW24090500071,5/9/2024 18:57,487,Z007
LW24090200072,2/9/2024 13:02,84,Z008
LW24090300073,3/9/2024 16:31,304,Z003
LW24090200074,2/9/2024 13:02,157,Z001
LW24090200075,2/9/2024 13:02,38,Z008
LW24090200076,2/9/2024 13:02,71,Z007
LW24090100077,1/9/2024 12:48,107,Z008
LW24090500078,5/9/2024 18:57,349,Z007
LW24090300079,3/9/2024 16:31,493,Z008
LW24090400080,4/9/2024 09:30,394,Z003
LW24090100081,1/9/2024 12:48,361,Z007
LW24090100082,1/9/2024 12:48,224,Z003
LW24090200083,2/9/2024 13:02,180,Z007
LW24090200084,2/9/2024 13:02,332,Z003
LW24090100085,1/9/2024 12:48,473,Z001
LW24090100086,1/9/2024 12:48,494,Z007
LW24090500087,5/9/2024 18:57,156,Z008
LW24090400088,4/9/2024 09:30,405,Z008
LW24090500089,5/9/2024 18:57,457,Z001
LW24090300090,3/9/2024 16:31,97,Z003
LW24090500091,5/9/2024 18:57,221,Z003
LW24090200092,2/9/2024 13:02,429,Z003
LW24090200093,2/9/2024 13:02,230,Z001
LW24090500094,5/9/2024 18:57,37,Z008
LW24090400095,4/9/2024 09:30,478,Z007
LW24090500096,5/9/2024 18:57,388,Z001
LW24090300097,3/9/2024 16:31,113,Z001
LW24090400098,4/9/2024 09:30,421,Z008
LW24090400099,4/9/2024 09:30,258,Z003
LW24090300100,3/9/2024 16:31,195,Z008
LW24090100101,1/9/2024 12:48,43,Z008
LW24090300102,3/9/2024 16:31,81,Z003
LW24090500103,5/9/2024 18:57,398,Z001
LW24090100104,1/9/2024 12:48,210,Z001
LW24090400105,4/9/2024 09:30,140,Z003
LW24090500106,5/9/2024 18:57,121,Z007
LW24090300107,3/9/2024 16:31,397,Z008
LW24090200108,2/9/2024 13:02,318,Z001
LW24090200109,2/9/2024 13:02,29,Z007
LW24090100110,1/9/2024 12:48,254,Z007
LW24090300111,3/9/2024 16:31,275,Z001
LW24090100112,1/9/2024 12:48,345,Z003
LW24090200113,2/9/2024 13:02,33,Z001
LW24090300114,3/9/2024 16:31,302,Z001
LW24090200115,2/9/2024 13:02,492,Z003
LW24090300116,3/9/2024 16:31,128,Z003
LW24090400117,4/9/2024 09:30,123,Z007
LW24090100118,1/9/2024 12:48,281,Z003
LW24090100119,1/9/2024 12:48,156,Z003
LW24090200120,2/9/2024 13:02,130,Z007
LW24090200121,2/9/2024 13:02,100,Z003
LW24090100122,1/9/2024 12:48,142,Z001
LW24090500123,5/9/2024 18:57,155,Z003
LW24090500124,5/9/2024 18:57,152,Z007
LW24090500125,5/9/2024 18:57,176,Z008
LW24090100126,1/9/2024 12:48,260,Z001
LW24090100127,1/9/2024 12:48,421,Z003
LW24090100128,1/9/2024 12:48,14,Z001
LW24090200129,2/9/2024 13:02,394,Z008
LW24090500130,5/9/2024 18:57,459,Z003
LW24090500131,5/9/2024 18:57,279,Z001
LW24090100132,1/9/2024 12:48,449,Z008
LW24090400133,4/9/2024 09:30,442,Z007
LW24090100134,1/9/2024 12:48,118,Z007
LW24090300135,3/9/2024 16:31,47,Z003
LW24090100136,1/9/2024 12:48,443,Z007
LW24090100137,1/9/2024 12:48,378,Z008
LW24090500138,5/9/2024 18:57,293,Z001
LW24090100139,1/9/2024 12:48,228,Z001
LW24090200140,2/9/2024 13:02,155,Z008
LW24090200141,2/9/2024 13:02,393,Z003
LW24090100142,1/9/2024 12:48,284,Z007
LW24090400143,4/9/2024 09:30,18,Z007
LW24090200144,2/9/2024 13:02,484,Z008
LW24090100145,1/9/2024 12:48,317,Z003
LW24090100146,1/9/2024 12:48,68,Z003
LW24090500147,5/9/2024 18:57,105,Z008
LW24090400148,4/9/2024 09:30,496,Z008
LW24090500149,5/9/2024 18:57,183,Z001
LW24090100150,1/9/2024 12:48,158,Z008
LW24090300151,3/9/2024 16:31,167,Z007
LW24090100152,1/9/2024 12:48,68,Z008
LW24090200153,2/9/2024 13:02,114,Z008
LW24090100154,1/9/2024 12:48,54,Z007
LW24090300155,3/9/2024 16:31,190,Z008
LW24090300156,3/9/2024 16:31,289,Z001
LW24090400157,4/9/2024 09:30,168,Z007
LW24090200158,2/9/2024 13:02,39,Z001
LW24090100159,1/9/2024 12:48,234,Z001
LW24090500160,5/9/2024 18:57,23,Z008
LW24090400161,4/9/2024 09:30,39,Z001
LW24090100162,1/9/2024 12:48,494,Z003
LW24090500163,5/9/2024 18:57,238,Z007
LW24090100164,1/9/2024 12:48,250,Z007
LW24090400165,4/9/2024 09:30,332,Z003
LW24090200166,2/9/2024 13:02,55,Z008
LW24090300167,3/9/2024 16:31,29,Z003
LW24090300168,3/9/2024 16:31,180,Z001
LW24090400169,4/9/2024 09:30,385,Z003
LW24090500170,5/9/2024 18:57,30,Z001
LW24090200171,2/9/2024 13:02,304,Z008
LW24090200172,2/9/2024 13:02,204,Z007
LW24090100173,1/9/2024 12:48,457,Z008
LW24090200174,2/9/2024 13:02,74,Z003
LW24090200175,2/9/2024 13:02,229,Z007
LW24090300176,3/9/2024 16:31,158,Z007
LW24090500177,5/9/2024 18:57,181,Z007
LW24090300178,3/9/2024 16:31,202,Z001
LW24090100179,1/9/2024 12:48,237,Z008
LW24090500180,5/9/2024 18:57,37,Z008
LW24090400181,4/9/2024 09:30,239,Z008
LW24090200182,2/9/2024 13:02,472,Z003
LW24090100183,1/9/2024 12:48,136,Z001
LW24090400184,4/9/2024 09:30,418,Z007
LW24090400185,4/9/2024 09:30,369,Z001
LW24090500186,5/9/2024 18:57,116,Z001
LW24090500187,5/9/2024 18:57,462,Z001
LW24090300188,3/9/2024 16:31,269,Z007
LW24090300189,3/9/2024 16:31,288,Z007
LW24090400190,4/9/2024 09:30,194,Z008
LW24090300191,3/9/2024 16:31,67,Z007
LW24090200192,2/9/2024 13:02,125,Z003
LW24090500193,5/9/2024 18:57,227,Z003
LW24090100194,1/9/2024 12:48,476,Z001
LW24090400195,4/9/2024 09:30,103,Z008
LW24090100196,1/9/2024 12:48,263,Z001
LW24090300197,3/9/2024 16:31,111,Z001
LW24090100198,1/9/2024 12:48,397,Z003
LW24090500199,5/9/2024 18:57,147,Z001
LW24090300200,3/9/2024 16:31,164,Z001
LW24090200201,2/9/2024 13:02,152,Z008
LW24090200202,2/9/2024 13:02,299,Z001
LW24090400203,4/9/2024 09:30,306,Z001
LW24090300204,3/9/2024 16:31,234,Z003
LW24090500205,5/9/2024 18:57,413,Z001
LW24090300206,3/9/2024 16:31,265,Z001
LW24090300207,3/9/2024 16:31,305,Z007
LW24090500208,5/9/2024 18:57,453,Z001
LW24090500209,5/9/2024 18:57,292,Z003
LW24090200210,2/9/2024 13:02,455,Z007
LW24090300211,3/9/2024 16:31,69,Z001
LW24090400212,4/9/2024 09:30,63,Z003
LW24090400213,4/9/2024 09:30,230,Z003
LW24090100214,1/9/2024 12:48,329,Z003
LW24090100215,1/9/2024 12:48,236,Z007
LW24090500216,5/9/2024 18:57,305,Z007
LW24090200217,2/9/2024 13:02,409,Z008
LW24090300218,3/9/2024 16:31,220,Z001
LW24090200219,2/9/2024 13:02,314,Z008
LW24090200220,2/9/2024 13:02,220,Z001
LW24090200221,2/9/2024 13:02,114,Z003
LW24090400222,4/9/2024 09:30,200,Z008
LW24090400223,4/9/2024 09:30,341,Z001
LW24090500224,5/9/2024 18:57,404,Z001
LW24090400225,4/9/2024 09:30,249,Z003
LW24090100226,1/9/2024 12:48,244,Z008
LW24090400227,4/9/2024 09:30,14,Z003
LW24090500228,5/9/2024 18:57,467,Z001
LW24090400229,4/9/2024 09:30,115,Z007
LW24090100230,1/9/2024 12:48,420,Z003
LW24090200231,2/9/2024 13:02,37,Z003
LW24090400232,4/9/2024 09:30,22,Z003
LW24090100233,1/9/2024 12:48,182,Z001
LW24090300234,3/9/2024 16:31,484,Z001
LW24090200235,2/9/2024 13:02,419,Z008
LW24090400236,4/9/2024 09:30,269,Z001
LW24090500237,5/9/2024 18:57,170,Z007
LW24090400238,4/9/2024 09:30,102,Z007
LW24090500239,5/9/2024 18:57,231,Z008
LW24090500240,5/9/2024 18:57,203,Z001
LW24090100241,1/9/2024 12:48,386,Z001
LW24090100242,1/9/2024 12:48,196,Z003
LW24090400243,4/9/2024 09:30,98,Z007
LW24090300244,3/9/2024 16:31,410,Z008
LW24090300245,3/9/2024 16:31,146,Z003
LW24090400246,4/9/2024 09:30,371,Z007
LW24090100247,1/9/2024 12:48,493,Z003
LW24090400248,4/9/2024 09:30,125,Z007
LW24090200249,2/9/2024 13:02,221,Z007
LW24090500250,5/9/2024 18:57,39,Z008
LW24090100251,1/9/2024 12:48,418,Z003
LW24090200252,2/9/2024 13:02,114,Z003
LW24090100253,1/9/2024 12:48,40,Z008
LW24090400254,4/9/2024 09:30,157,Z003
LW24090400255,4/9/2024 09:30,137,Z008
LW24090300256,3/9/2024 16:31,78,Z003
LW24090100257,1/9/2024 12:48,491,Z001
LW24090200258,2/9/2024 13:02,332,Z001
LW24090100259,1/9/2024 12:48,244,Z008
LW24090100260,1/9/2024 12:48,69,Z003
LW24090500261,5/9/2024 18:57,43,Z007
LW24090500262,5/9/2024 18:57,432,Z008
LW24090100263,1/9/2024 12:48,185,Z003
LW24090200264,2/9/2024 13:02,190,Z003
LW24090100265,1/9/2024 12:48,295,Z007
LW24090500266,5/9/2024 18:57,379,Z001
LW24090200267,2/9/2024 13:02,313,Z003
LW24090300268,3/9/2024 16:31,499,Z008
LW24090300269,3/9/2024 16:31,159,Z007
LW24090200270,2/9/2024 13:02,72,Z007
LW24090100271,1/9/2024 12:48,225,Z003
LW24090400272,4/9/2024 09:30,232,Z001
LW24090400273,4/9/2024 09:30,58,Z008
LW24090100274,1/9/2024 12:48,145,Z008
LW24090100275,1/9/2024 12:48,362,Z003
LW24090300276,3/9/2024 16:31,214,Z008
LW24090400277,4/9/2024 09:30,118,Z008
LW24090100278,1/9/2024 12:48,120,Z007
LW24090300279,3/9/2024 16:31,179,Z003
LW24090200280,2/9/2024 13:02,326,Z007
LW24090500281,5/9/2024 18:57,491,Z001
LW24090300282,3/9/2024 16:31,120,Z008
LW24090100283,1/9/2024 12:48,28,Z003
LW24090200284,2/9/2024 13:02,193,Z001
LW24090300285,3/9/2024 16:31,489,Z001
